index,pixel,volume,jarak
1,65733,105,0.3
2,64110,105,0.3
3,66271,110,0.3
4,57186,75,0.3
5,60384,85,0.3
6,57180,75,0.3
7,61536,80,0.3
8,67693,105,0.3
9,44805,55,0.3
10,46615,60,0.3
11,66383,100,0.3
12,47598,60,0.3
13,79588,120,0.3
14,87058,135,0.3
15,88642,145,0.3
16,59749,80,0.3
17,89273,155,0.3
18,84750,140,0.3
19,89025,150,0.3
20,81182,130,0.3
21,53951,65,0.3
22,45452,50,0.3
23,67447,90,0.3
24,48215,55,0.3
25,56255,70,0.3
26,40131,50,0.32
27,54745,75,0.32
28,44029,60,0.32
29,38680,55,0.32
30,40900,50,0.32
31,41491,55,0.32
32,42594,60,0.32
33,53579,80,0.32
34,59460,100,0.32
35,63553,110,0.32
36,72380,145,0.32
37,65909,125,0.32
38,79120,155,0.32
39,68430,130,0.32
40,68128,125,0.32
41,66777,130,0.32
42,70285,125,0.32
43,68055,125,0.32
44,62506,105,0.32
45,59817,100,0.32
46,49579,75,0.32
47,40234,55,0.32
48,35936,50,0.32
49,74934,145,0.32
50,80280,150,0.32
51,34930,55,0.34
52,32498,50,0.34
53,37978,65,0.34
54,38630,65,0.34
55,39331,75,0.34
56,51794,100,0.34
57,44186,80,0.34
58,52869,110,0.34
59,52920,110,0.34
60,54874,125,0.34
61,61191,120,0.34
62,54061,115,0.34
63,64162,130,0.34
64,66118,140,0.34
65,69906,150,0.34
66,42539,80,0.34
67,47422,90,0.34
68,51496,100,0.34
69,58636,120,0.34
70,54790,115,0.34
71,55480,120,0.34
72,68268,150,0.34
73,72279,165,0.34
74,32894,50,0.34
75,39565,70,0.34
76,28536,55,0.36
77,28248,50,0.36
78,36330,70,0.36
79,39409,80,0.36
80,46425,105,0.36
81,45160,100,0.36
82,45012,110,0.36
83,51450,130,0.36
84,58408,150,0.36
85,59260,150,0.36
86,51953,135,0.36
87,61196,165,0.36
88,59631,160,0.36
89,46232,115,0.36
90,38855,90,0.36
91,34155,70,0.36
92,32121,65,0.36
93,30857,55,0.36
94,28976,50,0.36
95,52547,130,0.36
96,57150,145,0.36
97,60187,150,0.36
98,57080,140,0.36
99,47007,110,0.36
100,46638,100,0.36
