index,pixel,volume,jarak
1,57378,60,0.307
2,53078,50,0.307
3,60613,60,0.307
4,53295,50,0.307
5,44062,40,0.307
6,47379,45,0.307
7,58702,60,0.307
8,44331,45,0.307
9,56897,55,0.307
10,44617,40,0.307
11,58183,55,0.307
12,56427,60,0.307
13,58838,60,0.307
14,66614,75,0.307
15,60512,60,0.307
16,57192,60,0.307
17,54665,55,0.307
18,60386,65,0.307
19,44675,40,0.307
20,51767,50,0.307
21,48116,45,0.316
22,50781,50,0.316
23,53032,55,0.316
24,57416,60,0.316
25,56611,60,0.316
26,58553,60,0.316
27,50784,50,0.316
28,55491,60,0.316
29,52405,55,0.316
30,53574,55,0.316
31,53913,55,0.316
32,53434,55,0.316
33,53641,55,0.316
34,58358,60,0.316
35,51992,55,0.316
36,59186,65,0.316
37,52969,55,0.316
38,50166,50,0.316
39,53044,55,0.316
40,53251,55,0.316
41,52344,55,0.316
42,52071,55,0.316
43,51352,50,0.316
44,56541,60,0.316
45,52824,55,0.316
46,50351,50,0.316
47,53642,55,0.316
48,50530,50,0.316
49,47151,45,0.316
50,53052,55,0.316
51,52202,55,0.316
52,52204,55,0.316
53,54509,55,0.31
54,54985,55,0.31
55,53786,55,0.31
56,51218,50,0.31
57,54522,55,0.31
58,51023,50,0.31
59,56169,60,0.31
60,57116,60,0.31
61,55717,55,0.31
62,47487,45,0.31
63,52075,50,0.31
64,55600,55,0.297
65,61411,60,0.297
66,47804,40,0.297
67,55195,55,0.297
68,54198,50,0.297
69,56945,55,0.297
70,65337,65,0.297
71,61250,60,0.297
72,52366,45,0.297
73,53721,50,0.297
74,59053,55,0.297
75,58843,55,0.297
76,52728,45,0.297
77,55748,55,0.297
78,53157,50,0.297
79,55333,50,0.297
80,54478,50,0.297
