No;pixel;volume;jarak
1;57378;60;30.7
2;53078;50;30.7
3;60613;60;30.7
4;53295;50;30.7
5;44062;40;30.7
6;47379;45;30.7
7;58702;60;30.7
8;44331;45;30.7
9;56897;55;30.7
10;44617;40;30.7
11;58183;55;30.7
12;56427;60;30.7
13;58838;60;30.7
14;66614;75;30.7
15;60512;60;30.7
16;57192;60;30.7
17;54665;55;30.7
18;60386;65;30.7
19;44675;40;30.7
20;51767;50;30.7
21;48116;45;31.6
22;50781;50;31.6
23;53032;55;31.6
24;57416;60;31.6
25;51658;60;31.6
26;49756;45;31.6
27;56611;60;31.6
28;58553;60;31.6
29;50784;50;31.6
30;55491;60;31.6
31;52405;55;31.6
32;53574;55;31.6
33;49774;50;31.6
34;53913;55;31.6
35;53434;55;31.6
36;53641;55;31.6
37;54495;55;31.6
38;51456;50;31.6
39;46879;55;31.6
40;58358;60;31.6
41;51992;55;31.6
42;59186;65;31.6
43;51456;50;31.6
44;52969;55;31.6
45;50166;50;31.6
46;53044;55;31.6
47;53251;55;31.6
48;52344;55;31.6
49;52071;55;31.6
50;51352;50;31.6
51;56541;60;31.6
52;52824;55;31.6
53;50351;50;31.6
54;53642;55;31.6
55;55331;55;31.6
56;50530;50;31.6
57;47151;45;31.6
58;53052;55;31.6
59;52202;55;31.6
60;52204;55;31.6
61;54509;55;31
62;54985;55;31
63;53786;55;31
64;61583;65;31
65;51218;50;31
66;52964;55;31
67;54522;55;31
68;51023;50;31
69;56169;60;31
70;54423;65;31
71;52239;55;31
72;57116;60;31
73;55717;55;31
74;47487;45;31
75;52075;50;31
76;55600;55;29.7
77;61411;60;29.7
78;47804;40;29.7
79;55195;55;29.7
80;52761;50;29.7
81;60928;55;29.7
82;54198;50;29.7
83;56945;55;29.7
84;65337;65;29.7
85;64522;60;29.7
86;61250;60;29.7
87;59826;55;29.7
88;62166;55;29.7
89;52366;45;29.7
90;53721;50;29.7
91;56591;50;29.7
92;59053;55;29.7
93;53483;55;29.7
94;56920;50;29.7
95;58843;55;29.7
96;52728;45;29.7
97;55748;55;29.7
98;53157;50;29.7
99;55333;50;29.7
100;54478;50;29.7
